,Ord_id,Prod_id,Ship_id,Cust_id,Sales,Discount,Order_Quantity,Profit,Shipping_Cost,Product_Base_Margin,Product_Category,Product_Sub_Category,Order_ID_x,Order_Date,Order_Priority,Order_Month,Order_Year,Customer_Name,Province,Region,Customer_Segment,Order_ID_y,Ship_Mode,Ship_Date,Ship_Month,Ship_Year,Duration
0,Ord_5446,Prod_16,SHP_7609,Cust_1818,136.81,0.01,23,-30.51,3.6,0.56,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",36262,2010-07-27,NOT SPECIFIED,7,2010,AARON BERGMAN,ALBERTA,WEST,CORPORATE,36262,REGULAR AIR,2010-07-28,7,2010,1 days 00:00:00.000000000
1,Ord_5446,Prod_4,SHP_7610,Cust_1818,4701.69,0.0,26,1148.9,2.5,0.59,TECHNOLOGY,TELEPHONES AND COMMUNICATION,36262,2010-07-27,NOT SPECIFIED,7,2010,AARON BERGMAN,ALBERTA,WEST,CORPORATE,36262,EXPRESS AIR,2010-07-27,7,2010,0 days 00:00:00.000000000
2,Ord_5446,Prod_6,SHP_7608,Cust_1818,164.02,0.03,23,-47.64,6.15,0.37,OFFICE SUPPLIES,PAPER,36262,2010-07-27,NOT SPECIFIED,7,2010,AARON BERGMAN,ALBERTA,WEST,CORPORATE,36262,EXPRESS AIR,2010-07-28,7,2010,1 days 00:00:00.000000000
3,Ord_5406,Prod_13,SHP_7549,Cust_1818,42.27,0.01,13,4.56,0.93,0.54,OFFICE SUPPLIES,PENS & ART SUPPLIES,20513,2009-07-07,HIGH,7,2009,AARON BERGMAN,ALBERTA,WEST,CORPORATE,20513,EXPRESS AIR,2009-08-07,8,2009,31 days 00:00:00.000000000
4,Ord_5456,Prod_6,SHP_7625,Cust_1818,2337.89,0.09,43,729.34,14.3,0.37,OFFICE SUPPLIES,PAPER,39682,2010-09-11,MEDIUM,9,2010,AARON BERGMAN,ALBERTA,WEST,CORPORATE,39682,EXPRESS AIR,2010-11-11,11,2010,61 days 00:00:00.000000000
5,Ord_5485,Prod_17,SHP_7664,Cust_1818,4233.15,0.08,35,1219.87,26.3,0.38,TECHNOLOGY,OFFICE MACHINES,54019,2009-01-07,LOW,1,2009,AARON BERGMAN,ALBERTA,WEST,CORPORATE,54019,DELIVERY TRUCK,2009-08-07,8,2009,212 days 00:00:00.000000000
6,Ord_2978,Prod_16,SHP_4112,Cust_1088,305.05,0.04,27,23.12,3.37,0.57,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",37863,2011-02-24,HIGH,2,2011,AARON HAWKINS,ONTARIO,ONTARIO,HOME OFFICE,37863,REGULAR AIR,2011-02-26,2,2011,2 days 00:00:00.000000000
7,Ord_5484,Prod_16,SHP_7663,Cust_1820,322.82,0.05,35,-17.58,3.98,0.56,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",53026,2012-02-26,LOW,2,2012,ADRIAN SHAMI,ALBERTA,WEST,CONSUMER,53026,REGULAR AIR,2012-03-03,3,2012,6 days 00:00:00.000000000
8,Ord_5430,Prod_4,SHP_7588,Cust_1820,337.2035,0.09,9,-120.93,4.99,0.56,TECHNOLOGY,TELEPHONES AND COMMUNICATION,31399,2011-05-11,NOT SPECIFIED,5,2011,ADRIAN SHAMI,ALBERTA,WEST,CONSUMER,31399,REGULAR AIR,2011-06-11,6,2011,31 days 00:00:00.000000000
9,Ord_5462,Prod_4,SHP_7632,Cust_1820,175.8565,0.03,10,-93.26,1.25,0.83,TECHNOLOGY,TELEPHONES AND COMMUNICATION,40838,2012-11-26,NOT SPECIFIED,11,2012,ADRIAN SHAMI,ALBERTA,WEST,CONSUMER,40838,REGULAR AIR,2012-11-27,11,2012,1 days 00:00:00.000000000
10,Ord_5462,Prod_5,SHP_7631,Cust_1820,323.96,0.07,40,-136.82,7.96,0.49,FURNITURE,OFFICE FURNISHINGS,40838,2012-11-26,NOT SPECIFIED,11,2012,ADRIAN SHAMI,ALBERTA,WEST,CONSUMER,40838,REGULAR AIR,2012-11-29,11,2012,3 days 00:00:00.000000000
11,Ord_5489,Prod_17,SHP_7671,Cust_1820,754.92,0.0,7,-129.57,19.99,0.52,TECHNOLOGY,OFFICE MACHINES,56706,2009-10-11,HIGH,10,2009,ADRIAN SHAMI,ALBERTA,WEST,CONSUMER,56706,REGULAR AIR,2009-11-11,11,2009,31 days 00:00:00.000000000
12,Ord_5481,Prod_15,SHP_7659,Cust_1820,2700.78,0.06,29,-793.36,58.2,0.58,FURNITURE,CHAIRS & CHAIRMATS,52230,2012-08-30,CRITICAL,8,2012,ADRIAN SHAMI,ALBERTA,WEST,CONSUMER,52230,DELIVERY TRUCK,2012-01-09,1,2012,-234 days +00:00:00.000000000
13,Ord_3730,Prod_16,SHP_5175,Cust_1314,459.08,0.04,34,61.57,3.14,0.6,OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",36992,2009-07-12,MEDIUM,7,2009,ALEKSANDRA GANNAWAY,SASKACHEWAN,PRARIE,CORPORATE,36992,EXPRESS AIR,2009-09-12,9,2009,62 days 00:00:00.000000000
14,Ord_3731,Prod_13,SHP_5176,Cust_1314,193.7,0.06,20,-14.99,4.82,0.47,OFFICE SUPPLIES,PENS & ART SUPPLIES,38596,2010-02-04,MEDIUM,2,2010,ALEKSANDRA GANNAWAY,SASKACHEWAN,PRARIE,CORPORATE,38596,REGULAR AIR,2010-03-04,3,2010,28 days 00:00:00.000000000
